"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"493",272,"Berik Abdrakhmanov","M",30,165,60,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Lightweight",NA
"767",439,"Sagat Abikeyeva","F",27,160,78,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Half-Heavyweight",NA
"1069",599,"Bektas Abubakirov","M",23,165,54,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Boxing","Boxing Men's Bantamweight",NA
"1108",620,"Kanat Kalizhanovich Abutalipov","M",25,168,56,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Bantamweight",NA
"1109",620,"Kanat Kalizhanovich Abutalipov","M",29,168,56,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Bantamweight",NA
"1886",1034,"Viktoriya Adyeva","F",20,160,55,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"1888",1036,"Olga Olegovna Adzhigerskaya","F",26,192,65,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"2763",1539,"Marina Aleksandrovna Aitova (Korzhova-)","F",21,177,58,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's High Jump",NA
"2764",1539,"Marina Aleksandrovna Aitova (Korzhova-)","F",25,177,58,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's High Jump",NA
"2949",1642,"Akhat Akhirov","M",26,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Lightweight",NA
"2950",1643,"Sergey Akhirov","M",31,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Half-Lightweight",NA
"2957",1648,"Yerdos Zhaksimbinovich Akhmadiyev","M",28,180,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"2958",1648,"Yerdos Zhaksimbinovich Akhmadiyev","M",28,180,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"2970",1655,"Damir Akhmetbekov","M",21,170,70,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Men's Platform",NA
"2971",1655,"Damir Akhmetbekov","M",25,170,70,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Diving","Diving Men's Platform",NA
"2976",1657,"Bakhyt Beshimbekovich Akhmetov","M",25,175,105,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Weightlifting","Weightlifting Men's Middle-Heavyweight",NA
"2977",1657,"Bakhyt Beshimbekovich Akhmetov","M",29,175,105,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Men's Heavyweight",NA
"3103",1733,"Merey Akshalov","M",20,179,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Lightweight",NA
"3128",1743,"Yelizaveta Vyacheslavovna Aksyonova","F",18,168,60,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Luge","Luge Women's Singles",NA
"4223",2416,"Zhanbota Yerkinovna Aldabergenova","F",18,168,57,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Women's Aerials",NA
"4362",2484,"Sergey Yevgenyevich Aleksandrov","M",27,176,95,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"4382",2496,"Dmitry Sergeyevich Aleksanin","M",20,186,87,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Fencing","Fencing Men's epee, Individual",NA
"4408",2512,"Yevgeny Petrovich Alekseyev","M",34,186,93,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Kayak Doubles, 200 metres",NA
"4409",2512,"Yevgeny Petrovich Alekseyev","M",34,186,93,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"4410",2512,"Yevgeny Petrovich Alekseyev","M",38,186,93,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"4413",2514,"Lyubov Alekseyeva","F",17,154,47,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"4583",2606,"Rezeda Aleyeva","F",32,176,75,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"4798",2743,"Zhanibek Alimkhanuly","M",23,182,75,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Middleweight",NA
"4802",2746,"Elmir Eldarovich Alimzhanov","M",25,185,72,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Fencing","Fencing Men's epee, Individual",NA
"4803",2747,"Sergey Alimzhanov","M",29,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Middleweight",NA
"4841",2765,"Pirmammad Sadiyarovich Aliyev","M",18,170,63,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Trampolining","Trampolining Men's Individual",NA
"5764",3246,"Anna Romzatovna Alyabyeva","F",18,174,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual",NA
"6471",3629,"Zoya Sergeyevna Ananchenko","F",19,165,67,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Singles, 500 metres",NA
"6472",3629,"Zoya Sergeyevna Ananchenko","F",19,165,67,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Fours, 500 metres",NA
"7892",4371,"Vitaly Vladimirovich Anichkin","M",23,170,60,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's 50 kilometres Walk",NA
"7917",4384,"Danil Anisimov","M",23,172,68,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Giant Slalom",NA
"7918",4384,"Danil Anisimov","M",23,172,68,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Slalom",NA
"8214",4527,"Vladimir Yuryevich Antipin","M",27,187,92,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"8215",4527,"Vladimir Yuryevich Antipin","M",35,187,92,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"8354",4601,"Nikolay Aleksandrovich ""Nik"" Antropov","M",25,197,104,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"8831",4845,"Zhibek Dzhumalillovna Arapbayeva","F",18,160,58,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Freestyle Skiing","Freestyle Skiing Women's Aerials",NA
"8832",4845,"Zhibek Dzhumalillovna Arapbayeva","F",22,160,58,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Women's Aerials",NA
"9145",5028,"Artyom Vladimirovich Argokov","M",30,180,81,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"9780",5355,"Bakhtiyar Garifulayevich Artayev","M",21,183,75,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Welterweight","Gold"
"9781",5355,"Bakhtiyar Garifulayevich Artayev","M",25,183,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Middleweight",NA
"9954",5442,"Sergey Arzamasov","M",25,190,75,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's Triple Jump",NA
"9955",5442,"Sergey Arzamasov","M",29,190,75,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's Triple Jump",NA
"10086",5507,"Rakymzhan Asembekov","M",22,163,54,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Bantamweight, Greco-Roman",NA
"10167",5556,"Sabina Ashirbayeva","F",17,163,45,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual",NA
"10312",5646,"Antonida Asonova","F",22,169,63,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"10316",5650,"Dina Aspandiyarova","F",24,158,65,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"10317",5650,"Dina Aspandiyarova","F",24,158,65,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"11394",6226,"Diana Aydosova","F",20,158,50,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 20 kilometres Walk",NA
"11395",6227,"Yekaterina Valeryevna Aydova","F",18,164,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Speed Skating","Speed Skating Women's 500 metres",NA
"11396",6227,"Yekaterina Valeryevna Aydova","F",18,164,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Speed Skating","Speed Skating Women's 1,000 metres",NA
"11397",6227,"Yekaterina Valeryevna Aydova","F",18,164,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Speed Skating","Speed Skating Women's 1,500 metres",NA
"11398",6227,"Yekaterina Valeryevna Aydova","F",22,164,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Women's 500 metres",NA
"11399",6227,"Yekaterina Valeryevna Aydova","F",22,164,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Women's 1,000 metres",NA
"11400",6227,"Yekaterina Valeryevna Aydova","F",22,164,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Women's 1,500 metres",NA
"11497",6277,"Gulnafis Garifollaevna Aytmukhambetova","F",24,175,67,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Taekwondo","Taekwondo Women's Welterweight",NA
"11532",6298,"Tatyana Nikolayevna Azarova","F",22,165,54,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 400 metres Hurdles",NA
"11533",6298,"Tatyana Nikolayevna Azarova","F",26,165,54,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 400 metres Hurdles",NA
"11596",6318,"Abzal Abaytovich Azhgaliyev","M",21,174,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",NA
"11600",6322,"Moldir Azimbay","F",16,162,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Women's Individual All-Around",NA
"11601",6322,"Moldir Azimbay","F",16,162,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Women's Floor Exercise",NA
"11602",6322,"Moldir Azimbay","F",16,162,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Women's Uneven Bars",NA
"11603",6322,"Moldir Azimbay","F",16,162,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Women's Balance Beam",NA
"11814",6447,"Dmitry Aleksandrovich Babenko","M",20,184,73,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Speed Skating","Speed Skating Men's 5,000 metres",NA
"11815",6447,"Dmitry Aleksandrovich Babenko","M",24,184,73,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Speed Skating","Speed Skating Men's 5,000 metres",NA
"11816",6447,"Dmitry Aleksandrovich Babenko","M",28,184,73,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 1,500 metres",NA
"11817",6447,"Dmitry Aleksandrovich Babenko","M",28,184,73,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 5,000 metres",NA
"11818",6447,"Dmitry Aleksandrovich Babenko","M",28,184,73,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 10,000 metres",NA
"12493",6791,"Ivan Baglayev","M",24,163,64,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Judo","Judo Men's Half-Lightweight",NA
"12890",7009,"Tatyana Bakatyuk (-Amanzhol)","F",22,155,48,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Women's Flyweight, Freestyle",NA
"13124",7133,"Dmitry Igorevich Balandin","M",21,195,85,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Breaststroke",NA
"13125",7133,"Dmitry Igorevich Balandin","M",21,195,85,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 200 metres Breaststroke","Gold"
"13651",7388,"Yelena Baltabayeva (-Ortina)","F",33,185,89,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's Shot Put",NA
"13977",7559,"Aleksey Bannikov","M",20,170,65,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"13978",7559,"Aleksey Bannikov","M",24,170,65,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"13979",7559,"Aleksey Bannikov","M",28,170,65,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"13993",7568,"Anastasiya Aleksandrovna Bannova","F",19,167,45,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Archery","Archery Women's Individual",NA
"13994",7568,"Anastasiya Aleksandrovna Bannova","F",23,167,45,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Archery","Archery Women's Individual",NA
"14709",7930,"Dmitry Vladimirovich Barmashov","M",24,178,78,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"14710",7930,"Dmitry Vladimirovich Barmashov","M",28,178,78,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"16546",8871,"Darkhan Argynovich Bayakhmetov","M",22,172,66,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Welterweight, Greco-Roman",NA
"16547",8871,"Darkhan Argynovich Bayakhmetov","M",26,172,66,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Welterweight, Greco-Roman",NA
"16563",8882,"Zauresh Baybusinova","F",38,155,65,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"16564",8882,"Zauresh Baybusinova","F",38,155,65,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"16568",8885,"Yermek Satybaldyyevich Bayduashov","M",30,NA,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle",NA
"16661",8938,"Islam Ilyasovich Bayramukov","M",25,186,97,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle",NA
"16662",8938,"Islam Ilyasovich Bayramukov","M",29,186,97,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Heavyweight, Freestyle","Silver"
"16663",8938,"Islam Ilyasovich Bayramukov","M",33,186,97,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Heavyweight, Freestyle",NA
"16666",8941,"Bakhtiyar Bagasharovich Bayseitov","M",24,176,76,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Welterweight, Greco-Roman",NA
"16667",8941,"Bakhtiyar Bagasharovich Bayseitov","M",28,176,76,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"16710",8963,"Asan Tolegenovich Bazayev","M",31,170,66,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's Road Race, Individual",NA
"16711",8963,"Asan Tolegenovich Bazayev","M",31,170,66,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's Individual Time Trial",NA
"17911",9514,"Aydar Bolatovich Bekzhanov","M",16,174,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Short Track Speed Skating","Short Track Speed Skating Men's 500 metres",NA
"17912",9514,"Aydar Bolatovich Bekzhanov","M",16,174,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Short Track Speed Skating","Short Track Speed Skating Men's 1,000 metres",NA
"17913",9514,"Aydar Bolatovich Bekzhanov","M",20,174,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 500 metres",NA
"17914",9514,"Aydar Bolatovich Bekzhanov","M",20,174,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 1,500 metres",NA
"17915",9514,"Aydar Bolatovich Bekzhanov","M",20,174,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",NA
"18443",9765,"Vladimir Belonogov","M",23,187,90,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Men's Single Sculls",NA
"18446",9768,"Viktoriya Vladimirovna Beloslyudtseva","F",32,173,58,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Archery","Archery Women's Individual",NA
"18584",9830,"Aleksey Belyayev","M",20,180,77,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Speed Skating","Speed Skating Men's 1,500 metres",NA
"18586",9832,"Sergey Nikolayevich Belyayev","M",36,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Men's Air Rifle, 10 metres",NA
"18587",9832,"Sergey Nikolayevich Belyayev","M",36,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Silver"
"18588",9832,"Sergey Nikolayevich Belyayev","M",36,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Silver"
"18596",9834,"Galina Vasilyevna Belyayeva","F",44,157,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"18597",9834,"Galina Vasilyevna Belyayeva","F",44,157,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"18598",9834,"Galina Vasilyevna Belyayeva","F",52,157,68,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"18599",9834,"Galina Vasilyevna Belyayeva","F",52,157,68,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"19535",10321,"Vyacheslav Berduta","M",25,193,120,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Judo","Judo Men's Heavyweight",NA
"19619",10353,"Sergey Mikhaylovich Berestovsky","M",28,178,76,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Men's Aerials",NA
"21525",11361,"Kayrat Biekenov","M",21,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"21526",11361,"Kayrat Biekenov","M",21,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"21694",11460,"Radik Bikchentayev","M",21,177,67,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Speed Skating","Speed Skating Men's 1,500 metres",NA
"21695",11460,"Radik Bikchentayev","M",21,177,67,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Speed Skating","Speed Skating Men's 5,000 metres",NA
"21696",11460,"Radik Bikchentayev","M",25,177,67,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 1,500 metres",NA
"21697",11460,"Radik Bikchentayev","M",25,177,67,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 5,000 metres",NA
"21698",11460,"Radik Bikchentayev","M",29,177,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 1,500 metres",NA
"21699",11460,"Radik Bikchentayev","M",29,177,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 5,000 metres",NA
"23406",12316,"Yevgeny Anatolyevich Blokhin","M",26,181,83,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"23539",12378,"Olga Yevgenyevna Bludova-Safronova","F",20,171,62,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 100 metres",NA
"23540",12378,"Olga Yevgenyevna Bludova-Safronova","F",24,171,62,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 100 metres",NA
"23541",12378,"Olga Yevgenyevna Bludova-Safronova","F",24,171,62,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 200 metres",NA
"23542",12378,"Olga Yevgenyevna Bludova-Safronova","F",24,171,62,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 4 x 100 metres Relay",NA
"23853",12523,"Tatyana Yuryevna Bocharova","F",21,178,59,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Triple Jump",NA
"24105",12643,"Svetlana Aleksandrovna Bodritskaya","F",24,171,54,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 400 metres",NA
"24106",12643,"Svetlana Aleksandrovna Bodritskaya","F",28,171,54,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's 400 metres",NA
"24107",12643,"Svetlana Aleksandrovna Bodritskaya","F",32,171,54,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's 400 metres",NA
"24414",12793,"Yevgeniya Bogunova","F",21,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Women's Half-Heavyweight",NA
"24690",12934,"Timur Bolat","M",23,183,90,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Judo","Judo Men's Middleweight",NA
"25120",13140,"Yuliya Bondareva (-Drishlyuk)","F",21,163,57,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"25121",13140,"Yuliya Bondareva (-Drishlyuk)","F",21,163,57,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"25122",13140,"Yuliya Bondareva (-Drishlyuk)","F",25,163,57,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Air Pistol, 10 metres",NA
"25123",13140,"Yuliya Bondareva (-Drishlyuk)","F",25,163,57,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Women's Sporting Pistol, 25 metres",NA
"25721",13432,"Irina Vikentyevna Borechko","F",36,178,67,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"25873",13501,"Sergey Borisenko","M",25,190,88,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 50 metres Freestyle",NA
"25874",13501,"Sergey Borisenko","M",25,190,88,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"25875",13501,"Sergey Borisenko","M",29,190,88,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 50 metres Freestyle",NA
"25876",13501,"Sergey Borisenko","M",29,190,88,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"25889",13509,"Valery Aleksandrovich Borisov","M",29,179,60,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's 20 kilometres Walk",NA
"25890",13509,"Valery Aleksandrovich Borisov","M",33,179,60,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 20 kilometres Walk",NA
"25891",13509,"Valery Aleksandrovich Borisov","M",33,179,60,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 50 kilometres Walk",NA
"25892",13509,"Valery Aleksandrovich Borisov","M",37,179,60,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 20 kilometres Walk",NA
"26016",13576,"Anastasiya Boroda","F",24,173,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"26019",13578,"Irina Borodavko","F",20,177,69,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"26031",13585,"Mikhail Ilyich Borodulin","M",30,187,87,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"26229",13673,"Vladimir Bortsov","M",23,180,81,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
