"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"244555",122437,"Sergey Tsybenko","M",28,183,76,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 1,500 metres",NA
"244914",122636,"Yana Tunyantse","F",23,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Archery","Archery Women's Individual",NA
"244915",122636,"Yana Tunyantse","F",23,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Archery","Archery Women's Team",NA
"245117",122745,"Daulet Bolatovich Turlykhanov","M",32,177,74,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"245488",122929,"Yekaterina Tyapkova","F",24,187,72,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"245506",122936,"Bakhtiyar Tyleganov","M",20,165,57,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Boxing","Boxing Men's Featherweight",NA
"245539",122956,"Nurmakhan Anarbekovich Tynaliyev","M",24,198,130,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman",NA
"245540",122956,"Nurmakhan Anarbekovich Tynaliyev","M",28,198,130,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman",NA
"245612",122995,"Dmitry Tyurin","M",37,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Modern Pentathlon","Modern Pentathlon Men's Individual",NA
"246071",123218,"Rustam Maratovich Ukumanov","M",26,192,86,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"246082",123223,"Denis Ulanov","M",22,175,85,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Men's Light-Heavyweight","Bronze"
"246114",123244,"Nikolay Uliyanin","M",24,178,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 1,500 metres",NA
"246214",123287,"Iolanta Yevgenyevna Ulyeva","F",24,170,92,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Shot Put",NA
"246215",123287,"Iolanta Yevgenyevna Ulyeva","F",28,170,92,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Shot Put",NA
"246216",123287,"Iolanta Yevgenyevna Ulyeva","F",32,170,92,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Shot Put",NA
"246412",123385,"Dmitry Sergeyevich Upper","M",27,185,92,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"246445",123402,"Gulzat Uralbayeva","F",18,158,57,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Lightweight",NA
"246581",123462,"Marian Urdabayeva","F",28,165,48,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Judo","Judo Women's Half-Middleweight",NA
"246740",123543,"Darya Sergeyevna Usanova","F",24,170,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"246741",123543,"Darya Sergeyevna Usanova","F",24,170,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",NA
"246742",123543,"Darya Sergeyevna Usanova","F",24,170,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 10 kilometres Pursuit",NA
"246743",123543,"Darya Sergeyevna Usanova","F",24,170,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 15 kilometres",NA
"246744",123543,"Darya Sergeyevna Usanova","F",24,170,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"246752",123550,"Galymzhan Shakhizindakhanovich Userbayev","M",27,173,74,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Middleweight, Freestyle",NA
"246768",123556,"Vladimir Petrovich Ushakov","M",30,195,94,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"246786",123565,"Sergey Ushkalov","M",24,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"246787",123565,"Sergey Ushkalov","M",24,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Backstroke",NA
"246788",123565,"Sergey Ushkalov","M",24,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"246914",123623,"Salamat Utarbayev","M",26,168,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Men's Extra-Lightweight",NA
"246917",123626,"Almas Dauletyarovich Uteshov","M",24,175,94,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Men's Middle-Heavyweight",NA
"247006",123676,"Ellina Olegovna Uzhakhova","F",22,179,72,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",NA
"247189",123756,"Lyubov Vafina","F",34,156,50,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"247673",124005,"Roman Gazizovich Valiyev","M",20,190,76,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's Triple Jump",NA
"247674",124005,"Roman Gazizovich Valiyev","M",24,190,76,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's Triple Jump",NA
"247675",124005,"Roman Gazizovich Valiyev","M",28,190,76,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's Triple Jump",NA
"247676",124005,"Roman Gazizovich Valiyev","M",32,190,76,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Men's Triple Jump",NA
"250348",125392,"Aleksey Aleksandrovich Vasilchenko","M",24,191,90,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"250364",125403,"Alla Vasilenko","F",24,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Cycling","Cycling Women's Road Race, Individual",NA
"250365",125403,"Alla Vasilenko","F",24,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Cycling","Cycling Women's Points Race",NA
"250469",125450,"Yana Vasilyeva","F",26,184,74,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"250487",125457,"Svetlana Vasina","F",30,152,51,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"250699",125564,"Alla Ivanovna Vazhenina","F",25,175,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Women's Heavyweight","Silver"
"250819",125627,"Olga Vedyacheva","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Women's Downhill",NA
"250820",125627,"Olga Vedyacheva","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Women's Super G",NA
"250821",125627,"Olga Vedyacheva","F",23,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Women's Combined",NA
"251132",125769,"Yevgeny Aleksandrovich Velichko","M",22,178,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"251133",125769,"Yevgeny Aleksandrovich Velichko","M",22,178,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"251134",125769,"Yevgeny Aleksandrovich Velichko","M",22,178,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"251135",125769,"Yevgeny Aleksandrovich Velichko","M",22,178,70,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"251136",125769,"Yevgeny Aleksandrovich Velichko","M",26,178,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"251137",125769,"Yevgeny Aleksandrovich Velichko","M",26,178,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"251138",125769,"Yevgeny Aleksandrovich Velichko","M",26,178,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"251139",125769,"Yevgeny Aleksandrovich Velichko","M",26,178,70,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"251190",125790,"Ruslan Veliyev","M",25,170,69,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Welterweight, Freestyle",NA
"251628",126017,"Rafail Ravilyevich Vergoyazov","M",18,173,60,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Canoeing","Canoeing Men's Canadian Singles, Slalom",NA
"251931",126162,"Andrey Yuryevich Verveykin","M",28,182,71,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"251932",126162,"Andrey Yuryevich Verveykin","M",28,182,71,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"253127",126756,"Aleksandr Nikolayevich Vinokurov","M",22,177,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Cycling","Cycling Men's Road Race, Individual",NA
"253128",126756,"Aleksandr Nikolayevich Vinokurov","M",26,177,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Road Race, Individual","Silver"
"253129",126756,"Aleksandr Nikolayevich Vinokurov","M",26,177,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Individual Time Trial",NA
"253130",126756,"Aleksandr Nikolayevich Vinokurov","M",30,177,68,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Road Race, Individual",NA
"253131",126756,"Aleksandr Nikolayevich Vinokurov","M",30,177,68,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Individual Time Trial",NA
"253132",126756,"Aleksandr Nikolayevich Vinokurov","M",38,177,68,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's Road Race, Individual","Gold"
"253133",126756,"Aleksandr Nikolayevich Vinokurov","M",38,177,68,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Cycling","Cycling Men's Individual Time Trial",NA
"253245",126821,"Galina Aleksandrovna Vishnevskaya","F",19,160,55,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"253246",126821,"Galina Aleksandrovna Vishnevskaya","F",19,160,55,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 15 kilometres",NA
"253247",126821,"Galina Aleksandrovna Vishnevskaya","F",19,160,55,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"253891",127138,"Vladimir Anatolyevich Vokhmyanin","M",34,174,72,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Bronze"
"253892",127138,"Vladimir Anatolyevich Vokhmyanin","M",38,174,72,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres",NA
"254083",127225,"Marina Ivanovna Volnova","F",22,170,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Women's Middleweight","Bronze"
"254087",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",22,176,62,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 5 kilometres",NA
"254088",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",22,176,62,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
"254089",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",22,176,62,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"254090",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",22,176,62,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit",NA
"254091",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",22,176,62,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"254092",127227,"Yelena Vyacheslavovna Volodina-Antonova","F",26,176,62,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",NA
